Steps: 1769 Loss: 0.03787| DTW: 17.157| LR: 0.001000 *
Steps: 3538 Loss: 0.00513| DTW: 22.090| LR: 0.001000 
Steps: 5307 Loss: 0.00522| DTW: 19.085| LR: 0.001000 
Steps: 7076 Loss: 0.03615| DTW: 36.181| LR: 0.001000 
Steps: 8845 Loss: 0.00362| DTW: 20.533| LR: 0.001000 
Steps: 10614 Loss: 0.00209| DTW: 16.193| LR: 0.001000 *
Steps: 12383 Loss: 0.00282| DTW: 20.423| LR: 0.001000 
Steps: 14152 Loss: 0.00134| DTW: 15.747| LR: 0.001000 *
Steps: 15921 Loss: 0.00317| DTW: 20.692| LR: 0.001000 
Steps: 17690 Loss: 0.00153| DTW: 23.301| LR: 0.001000 
Steps: 19459 Loss: 0.00153| DTW: 19.840| LR: 0.001000 
Steps: 21228 Loss: 0.00223| DTW: 17.936| LR: 0.001000 
Steps: 22997 Loss: 0.00113| DTW: 17.788| LR: 0.001000 
Steps: 24766 Loss: 0.00121| DTW: 17.914| LR: 0.001000 
Steps: 26535 Loss: 0.00179| DTW: 20.024| LR: 0.001000 
Steps: 28304 Loss: 0.00135| DTW: 17.603| LR: 0.000700 
Steps: 30073 Loss: 0.00112| DTW: 24.057| LR: 0.000700 
Steps: 31842 Loss: 0.00096| DTW: 20.594| LR: 0.000700 
Steps: 33611 Loss: 0.00214| DTW: 17.588| LR: 0.000700 
Steps: 35380 Loss: 0.00177| DTW: 26.877| LR: 0.000700 
Steps: 37149 Loss: 0.00089| DTW: 27.326| LR: 0.000700 
Steps: 38918 Loss: 0.00085| DTW: 20.810| LR: 0.000700 
Steps: 40687 Loss: 0.00134| DTW: 19.010| LR: 0.000700 
Steps: 42456 Loss: 0.00100| DTW: 18.374| LR: 0.000490 
Steps: 44225 Loss: 0.00079| DTW: 16.834| LR: 0.000490 
Steps: 45994 Loss: 0.00102| DTW: 28.255| LR: 0.000490 
Steps: 47763 Loss: 0.00107| DTW: 22.064| LR: 0.000490 
Steps: 49532 Loss: 0.00086| DTW: 31.732| LR: 0.000490 
Steps: 51301 Loss: 0.00084| DTW: 22.885| LR: 0.000490 
Steps: 53070 Loss: 0.00071| DTW: 23.098| LR: 0.000490 
Steps: 54839 Loss: 0.00079| DTW: 22.192| LR: 0.000490 
