Steps: 885 Loss: 0.01734| DTW: 15.874| LR: 0.001000 *
Steps: 1770 Loss: 0.02985| DTW: 22.691| LR: 0.001000 
Steps: 2655 Loss: 0.00403| DTW: 17.709| LR: 0.001000 
Steps: 3540 Loss: 0.00342| DTW: 16.579| LR: 0.001000 
Steps: 4425 Loss: 0.00590| DTW: 16.429| LR: 0.001000 
Steps: 5310 Loss: 0.00308| DTW: 16.318| LR: 0.001000 
Steps: 6195 Loss: 0.00896| DTW: 21.173| LR: 0.001000 
Steps: 7080 Loss: 0.00263| DTW: 17.815| LR: 0.001000 
Steps: 7965 Loss: 0.00245| DTW: 17.979| LR: 0.000700 
Steps: 8850 Loss: 0.00260| DTW: 19.344| LR: 0.000700 
Steps: 9735 Loss: 0.00210| DTW: 16.605| LR: 0.000700 
Steps: 10620 Loss: 0.00182| DTW: 14.592| LR: 0.000700 *
Steps: 11505 Loss: 0.00166| DTW: 18.822| LR: 0.000700 
Steps: 12390 Loss: 0.00166| DTW: 18.750| LR: 0.000700 
Steps: 13275 Loss: 0.00287| DTW: 18.163| LR: 0.000700 
Steps: 14160 Loss: 0.00333| DTW: 18.773| LR: 0.000700 
Steps: 15045 Loss: 0.00186| DTW: 17.931| LR: 0.000700 
Steps: 15930 Loss: 0.00355| DTW: 20.010| LR: 0.000700 
Steps: 16815 Loss: 0.00281| DTW: 20.037| LR: 0.000700 
Steps: 17700 Loss: 0.00178| DTW: 17.651| LR: 0.000490 
Steps: 18585 Loss: 0.00116| DTW: 14.240| LR: 0.000490 *
Steps: 19470 Loss: 0.00192| DTW: 19.516| LR: 0.000490 
Steps: 20355 Loss: 0.00383| DTW: 22.609| LR: 0.000490 
Steps: 21240 Loss: 0.00123| DTW: 16.886| LR: 0.000490 
Steps: 22125 Loss: 0.00656| DTW: 26.580| LR: 0.000490 
Steps: 23010 Loss: 0.00121| DTW: 20.025| LR: 0.000490 
Steps: 23895 Loss: 0.00335| DTW: 25.389| LR: 0.000490 
Steps: 24780 Loss: 0.00114| DTW: 16.381| LR: 0.000490 
Steps: 25665 Loss: 0.00119| DTW: 18.386| LR: 0.000343 
Steps: 26550 Loss: 0.00107| DTW: 20.694| LR: 0.000343 
Steps: 27435 Loss: 0.00290| DTW: 19.368| LR: 0.000343 
Steps: 28320 Loss: 0.00171| DTW: 21.984| LR: 0.000343 
Steps: 29205 Loss: 0.00126| DTW: 16.799| LR: 0.000343 
Steps: 30090 Loss: 0.00114| DTW: 16.620| LR: 0.000343 
Steps: 30975 Loss: 0.00170| DTW: 29.440| LR: 0.000343 
Steps: 31860 Loss: 0.00384| DTW: 27.245| LR: 0.000343 
Steps: 32745 Loss: 0.00092| DTW: 16.987| LR: 0.000240 
Steps: 33630 Loss: 0.00094| DTW: 18.030| LR: 0.000240 
Steps: 34515 Loss: 0.00110| DTW: 18.385| LR: 0.000240 
Steps: 35400 Loss: 0.00116| DTW: 23.934| LR: 0.000240 
Steps: 36285 Loss: 0.00108| DTW: 19.426| LR: 0.000240 
Steps: 37170 Loss: 0.00101| DTW: 20.648| LR: 0.000240 
Steps: 38055 Loss: 0.00093| DTW: 18.378| LR: 0.000240 
Steps: 38940 Loss: 0.00082| DTW: 15.167| LR: 0.000240 
Steps: 39825 Loss: 0.00088| DTW: 18.660| LR: 0.000168 
