Steps: 885 Loss: 0.02501| DTW: 16.760| LR: 0.001000 *
Steps: 1770 Loss: 0.03125| DTW: 21.001| LR: 0.001000 
Steps: 2655 Loss: 0.00412| DTW: 19.263| LR: 0.001000 
Steps: 3540 Loss: 0.00346| DTW: 16.942| LR: 0.001000 
Steps: 4425 Loss: 0.00721| DTW: 18.772| LR: 0.001000 
Steps: 5310 Loss: 0.00289| DTW: 14.569| LR: 0.001000 *
Steps: 6195 Loss: 0.01279| DTW: 18.014| LR: 0.001000 
Steps: 7080 Loss: 0.00285| DTW: 15.200| LR: 0.001000 
Steps: 7965 Loss: 0.00233| DTW: 21.082| LR: 0.001000 
Steps: 8850 Loss: 0.00361| DTW: 19.595| LR: 0.001000 
Steps: 9735 Loss: 0.00240| DTW: 15.387| LR: 0.001000 
Steps: 10620 Loss: 0.00182| DTW: 17.096| LR: 0.001000 
Steps: 11505 Loss: 0.00173| DTW: 19.339| LR: 0.001000 
Steps: 12390 Loss: 0.00195| DTW: 19.183| LR: 0.000700 
Steps: 13275 Loss: 0.00325| DTW: 18.996| LR: 0.000700 
Steps: 14160 Loss: 0.00213| DTW: 18.223| LR: 0.000700 
Steps: 15045 Loss: 0.00186| DTW: 15.976| LR: 0.000700 
Steps: 15930 Loss: 0.00271| DTW: 21.650| LR: 0.000700 
Steps: 16815 Loss: 0.00316| DTW: 25.006| LR: 0.000700 
Steps: 17700 Loss: 0.00170| DTW: 17.268| LR: 0.000700 
Steps: 18585 Loss: 0.00130| DTW: 14.872| LR: 0.000700 
Steps: 19470 Loss: 0.00208| DTW: 18.113| LR: 0.000490 
Steps: 20355 Loss: 0.00326| DTW: 29.142| LR: 0.000490 
Steps: 21240 Loss: 0.00139| DTW: 19.834| LR: 0.000490 
Steps: 22125 Loss: 0.00807| DTW: 22.266| LR: 0.000490 
Steps: 23010 Loss: 0.00105| DTW: 18.205| LR: 0.000490 
Steps: 23895 Loss: 0.00305| DTW: 23.760| LR: 0.000490 
Steps: 24780 Loss: 0.00119| DTW: 16.918| LR: 0.000490 
Steps: 25665 Loss: 0.00126| DTW: 19.983| LR: 0.000490 
Steps: 26550 Loss: 0.00114| DTW: 16.320| LR: 0.000343 
Steps: 27435 Loss: 0.00180| DTW: 27.411| LR: 0.000343 
Steps: 28320 Loss: 0.00149| DTW: 21.078| LR: 0.000343 
Steps: 29205 Loss: 0.00134| DTW: 22.040| LR: 0.000343 
Steps: 30090 Loss: 0.00104| DTW: 17.858| LR: 0.000343 
Steps: 30975 Loss: 0.00191| DTW: 22.179| LR: 0.000343 
Steps: 31860 Loss: 0.00179| DTW: 37.198| LR: 0.000343 
Steps: 32745 Loss: 0.00088| DTW: 20.629| LR: 0.000343 
Steps: 33630 Loss: 0.00089| DTW: 17.422| LR: 0.000240 
Steps: 34515 Loss: 0.00093| DTW: 17.745| LR: 0.000240 
Steps: 35400 Loss: 0.00112| DTW: 22.135| LR: 0.000240 
Steps: 36285 Loss: 0.00107| DTW: 20.673| LR: 0.000240 
Steps: 37170 Loss: 0.00097| DTW: 16.588| LR: 0.000240 
Steps: 38055 Loss: 0.00101| DTW: 22.368| LR: 0.000240 
Steps: 38940 Loss: 0.00081| DTW: 14.078| LR: 0.000240 *
Steps: 39825 Loss: 0.00085| DTW: 17.987| LR: 0.000240 
Steps: 40710 Loss: 0.00100| DTW: 19.389| LR: 0.000240 
Steps: 41595 Loss: 0.00086| DTW: 21.247| LR: 0.000240 
Steps: 42480 Loss: 0.00097| DTW: 20.093| LR: 0.000240 
Steps: 43365 Loss: 0.00156| DTW: 35.814| LR: 0.000240 
Steps: 44250 Loss: 0.00084| DTW: 16.638| LR: 0.000240 
Steps: 45135 Loss: 0.00080| DTW: 18.152| LR: 0.000240 
Steps: 46020 Loss: 0.00090| DTW: 17.430| LR: 0.000168 
